Name,Byte Start,bit,type,multiplier,value,min,max,Comments
TwinSafe COM err,1,0,bool,1,0,0,1,error
TwinSafe FB err,1,1,bool,1,0,0,1,error
TwinSafe OUT err,1,2,bool,1,0,0,1,error
door switch ppg 1 (rear capacitor),1,3,bool,1,0,0,1,error
door switch ppg 2 (rear bouncer igct),1,4,bool,1,0,0,1,error
door switch ppg 3 (front bias),1,5,bool,1,0,0,1,error
/,1,6,bool,1,0,0,1,/
emergency stop front,1,7,bool,1,0,0,1,inactive
emergency stop rear,2,0,bool,1,0,0,1,inactive
hvps pss in 1,2,1,bool,1,0,0,1,inactive
hvps pss in 2,2,2,bool,1,0,0,1,inactive
Grounding rod capacitor,2,3,bool,1,0,0,1,mounted
manual main switch,2,4,bool,1,0,0,1,switch in off state
hvps pss out,2,5,bool,1,0,0,1,inactive
bias power on,2,6,bool,1,0,0,1,on
dump switches,2,7,bool,1,0,0,1,not switched
digital out: hvps pss out,3,0,bool,1,0,0,1,inactive
digital out: ic1ab 24 V,3,1,bool,1,0,0,1,24 V active
digital out: dump switches,3,2,bool,1,0,0,1,switches activated
digital out: hvps main switch,3,3,bool,1,0,0,1,switch activated
digital out: bias power on,3,4,bool,1,0,0,1,power on
dump switch il,3,5,bool,1,0,0,1,switching operation ok
temp oil switch,3,6,bool,1,0,0,1,temp ok
power in il,3,7,bool,1,0,0,1,under voltage relays ok
state 1 ready,4,0,bool,1,0,0,1,ready
state 2 ready,4,1,bool,1,0,0,1,ready
state 3 ready,4,2,bool,1,0,0,1,ready
state 1 il,4,3,bool,1,0,0,1,inactive
state 2 il,4,4,bool,1,0,0,1,inactive
state 3 il,4,5,bool,1,0,0,1,inactive
accessmode local,4,6,bool,1,0,0,1,active
accessmode remote,4,7,bool,1,0,0,1,active
accessmode local-test,5,0,bool,1,0,0,1,active
pss,5,1,bool,1,0,0,1,inactive
high il,5,2,bool,1,0,0,1,inactive
low il,5,3,bool,1,0,0,1,inactive
warning,5,4,bool,1,0,0,1,inactive
emergency stop external,5,5,bool,1,0,0,1,inactive
/,5,6,bool,1,0,0,1,/
/,5,7,bool,1,0,0,1,/
module 1 selected,6,0,bool,1,0,0,1,active
module 2 selected,6,1,bool,1,0,0,1,active
module 3 selected,6,2,bool,1,0,0,1,active
/,6,3,bool,1,0,0,1,/
module 1 master,6,4,bool,1,0,0,1,active
module 2 master,6,5,bool,1,0,0,1,active
module 3 master,6,6,bool,1,0,0,1,active
/,6,7,bool,1,0,0,1,active
feedback ack,7,0,bool,1,0,0,1,active
feedback hvps activation,7,1,bool,1,0,0,1,active
hv on,7,2,bool,1,0,0,1,active
eoc,7,3,bool,1,0,0,1,active
current control,7,4,bool,1,0,0,1,active
power control,7,5,bool,1,0,0,1,active
hvps inhibit,7,6,bool,1,0,0,1,active
error common,7,7,bool,1,0,0,1,active
mainswitch on,8,0,bool,1,0,0,1,active
profinet operation,8,1,bool,1,0,0,1,active
local,8,2,bool,1,0,0,1,active
feedback maintenance,8,3,bool,1,0,0,1,active
err cat 0,8,4,bool,1,0,0,1,active
err cat 1,8,5,bool,1,0,0,1,active
err cat 2,8,6,bool,1,0,0,1,active
err cat 3,8,7,bool,1,0,0,1,active
module 1 ready,9,0,bool,1,0,0,1,active
module 2 ready,9,1,bool,1,0,0,1,active
module 3 ready,9,2,bool,1,0,0,1,active
emergency stop,9,3,bool,1,0,0,1,active
emergency ext,9,4,bool,1,0,0,1,active
door 1 open,9,5,bool,1,0,0,1,active
door 2 open,9,6,bool,1,0,0,1,active
