Name,Byte Start,bit,type,multiplier,value,min,max,Comments
reset,1,0,bool,1,0,0,1,reset
send mon values,1,1,bool,1,1,1,1,send monitor values
send pulse data,1,2,bool,1,0,0,1,send pulsdata of last five pulses
state,2,0,byte,1,0,0,7,0 = off; 1 = standby; 2 = on
trigger pulsewidth,3,0,float,1,800,560,2800,uS
cathode voltage,5,0,float,1,60,0,115,kV
hvps current,7,0,float,1,30,0,54,A
hvps power,9,0,float,1,140,0,225,kW
hvps cathode voltage step up,11,0,float,10,1.5,1,15,kV
hvps cathode voltage step down,13,0,float,10,0.8,0.1,0.8,kV
bias voltage,15,0,float,10,80,20,80,V
bias current,17,0,float,10,8,0,40,A
limit voltage klystron,19,0,float,10,10,0.1,30,%
limit current primary,21,0,float,10,10,0.1,30,%
limit current klystron,23,0,float,10,10,0.1,30,%
